model,approach,training_hours,phase,dataset,split,n,wer,wer_ci_low,wer_ci_high,cer,cer_ci_low,cer_ci_high,timing_n_samples,total_inference_sec,mean_inference_sec_per_utt,median_inference_sec_per_utt,mean_audio_duration_sec,mean_rtf,median_rtf,speed_x_realtime,train_wall_clock_hours,train_samples,actual_train_hours,best_wer_periodic_eval,best_step,global_step_at_end,source_file
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,moulsot_test,full,1962,1.181480866146093,1.1591914418289808,1.2067086179294542,0.960763098531168,0.9394990159340624,0.9839673023533416,1993,2061.7189444368705,1.0329322596269856,0.6905305853579193,6.377748620170598,0.2387158732447636,0.14826412623127302,4.189080459574909,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,moulsot_test,code_switched,194,1.1665576629605408,1.1039236824874417,1.245071647026984,0.9568208023537832,0.8936347497616817,1.0383295415222953,1993,2061.7189444368705,1.0329322596269856,0.6905305853579193,6.377748620170598,0.2387158732447636,0.14826412623127302,4.189080459574909,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,moulsot_test,monolingual,1768,1.1836521077171949,1.1593730130199162,1.2091565962960773,0.9613436619883247,0.9385725755390437,0.9851270063265648,1993,2061.7189444368705,1.0329322596269856,0.6905305853579193,6.377748620170598,0.2387158732447636,0.14826412623127302,4.189080459574909,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot Darija prompt,moulsot_test,full,1962,1.058952206900371,1.0386850484152186,1.0820927929667141,0.8838867396829609,0.8656458569355756,0.9039572142514547,1993,1934.429303306155,0.9687993158037249,0.7881580395624042,6.377748620170598,0.22832276067361507,0.1417437327416757,4.379764842759103,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot Darija prompt,moulsot_test,code_switched,194,1.025288859821234,0.9955920371378266,1.0620110015849566,0.8443799451314064,0.8150128999548736,0.875109601134916,1993,1934.429303306155,0.9687993158037249,0.7881580395624042,6.377748620170598,0.22832276067361507,0.1417437327416757,4.379764842759103,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot Darija prompt,moulsot_test,monolingual,1768,1.0638500333047864,1.041028237029875,1.0912693587975506,0.8897047199142792,0.8690857591799646,0.9139469440066206,1993,1934.429303306155,0.9687993158037249,0.7881580395624042,6.377748620170598,0.22832276067361507,0.1417437327416757,4.379764842759103,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,casablanca_ood,full,500,1.3139655172413793,1.209875413136996,1.458585758969807,1.17934007981756,1.1025492203569789,1.2838563062239374,500,341.2127915369347,0.6758304162323475,0.43297795089893043,3.5506542403628116,0.2721829464416414,0.17129983951055328,3.6739994664375835,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,casablanca_ood,code_switched,0,,,,,,,500,341.2127915369347,0.6758304162323475,0.43297795089893043,3.5506542403628116,0.2721829464416414,0.17129983951055328,3.6739994664375835,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,casablanca_ood,monolingual,500,1.3139655172413793,1.209875413136996,1.458585758969807,1.17934007981756,1.1025492203569789,1.2838563062239374,500,341.2127915369347,0.6758304162323475,0.43297795089893043,3.5506542403628116,0.2721829464416414,0.17129983951055328,3.6739994664375835,,,,,,,/Users/mac/Downloads/results 3/zero_shot_results_80h.json
Qwen2-Audio,end-to-end,10,fine-tuned 10h,moulsot_test,full,1962,0.5776153292351996,0.5691735815337665,0.5859732574470699,0.23448743990445958,0.22849244394047943,0.24080131710938593,1993,2175.7489669809584,1.0890455797791403,1.174122040742077,6.377748620170598,0.2597916371886813,0.1664606443294112,3.849238608376453,2.0942992117007573,7899,10.001133611111118,0.502373417721519,600,900,/Users/mac/Downloads/results 3/final_results_10h.json
