model,approach,training_hours,phase,dataset,n,recomputed_wer,exact_match_rate,median_utt_wer,p90_utt_wer,high_error_gt_100wer_rate,empty_prediction_rate,prompt_artifact_rate,pred_ref_word_ratio,pred_arabic_char_share,pred_latin_char_share,mean_ref_words,mean_pred_words
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,moulsot_test,1962,1.181480866146093,0.0010193679918450561,1.0,2.0391304347826127,0.35932721712538224,0.0,0.9480122324159022,0.9039153790773661,0.5354291558939682,0.43291331647583603,18.406727828746178,16.638124362895006
Qwen2-Audio,end-to-end,0,zero-shot Darija prompt,moulsot_test,1962,1.058952206900371,0.0005096839959225281,1.0,1.1666666666666667,0.13761467889908258,0.0,0.9780835881753313,0.7139336545384062,0.4097288663625078,0.5743858178684105,18.406727828746178,13.141182466870541
Qwen2-Audio,end-to-end,0,zero-shot strict prompt,casablanca_ood,500,1.3139655172413793,0.0,1.0,2.0,0.436,0.0,0.982,1.0544827586206897,0.21486507565122445,0.7465683980658243,11.6,12.232
Qwen2-Audio,end-to-end,10,fine-tuned 10h,moulsot_test,1962,0.5776153292351996,0.024974515800203875,0.5714285714285714,0.857142857142857,0.023955147808358817,0.0,0.0,0.9780417566594672,0.9804670858952268,0.019030602837104907,18.406727828746178,18.00254841997961
Qwen2-Audio,end-to-end,10,fine-tuned 10h,casablanca_ood,500,0.723448275862069,0.008,0.75,1.0,0.03,0.0,0.0,0.8848275862068965,0.9752020824770516,0.02424989724619811,11.6,10.264
Qwen2-Audio,end-to-end,30,fine-tuned 30h,moulsot_test,1962,0.4758265492606745,0.04485219164118247,0.46875,0.7692307692307693,0.014271151885830785,0.0,0.0,0.9885639918037327,0.9842250087952957,0.015435744082022416,18.406727828746178,18.196228338430174
Qwen2-Audio,end-to-end,30,fine-tuned 30h,casablanca_ood,500,0.6398275862068965,0.014,0.6666666666666666,1.0,0.018,0.0,0.0,0.8877586206896552,0.9745593312738506,0.02475922224241323,11.6,10.298
Whisper large-v3,cascaded,0,zero-shot greedy,moulsot_test,1962,0.8485351941075483,0.024464831804281346,0.75,1.0,0.06829765545361875,0.0,0.0,0.9773218142548596,0.9993452802807871,0.0006547197192129864,18.406727828746178,17.989296636085626
Whisper large-v3,cascaded,0,zero-shot greedy,casablanca_ood,500,0.9662068965517241,0.004,0.9,1.0,0.064,0.0,0.0,0.9418965517241379,1.0,0.0,11.6,10.926
Whisper large-v3,cascaded,10,fine-tuned 10h,moulsot_test,1962,0.4013940366211208,0.06829765545361875,0.38461538461538464,0.6923076923076923,0.00764525993883792,0.0,0.0,0.9767383968578857,0.9868258128586603,0.012916485961571097,18.427115188583077,17.998470948012233
Whisper large-v3,cascaded,10,fine-tuned 10h,casablanca_ood,500,0.6112155924089588,0.014,0.625,1.0,0.006,0.0,0.0,0.8695503504872628,0.9832223944560956,0.016458466308014955,11.698,10.172
Whisper large-v3,cascaded,30,fine-tuned 30h,moulsot_test,1962,0.3922940753443602,0.07237512742099898,0.375,0.6754901960784323,0.00815494393476045,0.0,0.0,0.9811362504840405,0.9841840673306848,0.0155146768089473,18.427115188583077,18.079510703363916
Whisper large-v3,cascaded,30,fine-tuned 30h,casablanca_ood,500,0.5891605402632929,0.016,0.6,0.9173076923076924,0.004,0.0,0.0,0.876560095742862,0.984882190039497,0.014936214645662142,11.698,10.254
